# NSAID zone depth edge out
3171 1035 0 1 0
3175 1035 0 1 0
3178 450 3 0 0
3179 136 3 0 0
3180 603 3 0 0
3181 450 5 0 0
3182 371 8 0 0
3187 1035 0 1 0
3190 1035 0 1 0
3191 1035 0 1 0
3192 1035 0 1 0
3193 1035 0 1 0
3194 1035 0 1 0
3195 813 4 0 0
3200 136 4 0 0
3204 1035 0 1 0
3208 1035 0 1 0
3213 1035 0 1 0
3214 813 4 0 0
3216 221 3 0 0
3220 450 3 0 0
3221 744 1 0 0
3229 1035 0 1 0
3230 136 4 0 0
3233 1035 0 1 0
3234 744 2 0 0
3235 1035 0 1 0
3241 1035 0 1 0
3247 1035 0 1 0
3257 1035 0 1 0
3258 813 3 0 0
3260 1035 0 1 0
3270 1035 0 1 0
3272 1035 0 1 0
3275 1035 0 1 0
3276 1035 0 1 0
3278 143 5 0 0
3279 22 4 0 0
3281 813 3 0 0
3282 221 3 0 0
3297 813 2 0 0
3300 22 5 0 0
3305 1035 0 1 0
3308 411 4 0 0
3312 906 1 0 0
3317 828 2 0 0
3320 906 1 0 0
3324 143 4 0 0
3326 652 3 0 0
3335 371 5 0 0
3337 813 3 0 0
3345 828 2 0 0
3354 603 2 0 0
3355 744 2 0 0
3358 221 4 0 0
3367 1035 0 1 0
3374 136 5 0 0
3376 828 2 0 0
3377 744 1 0 0
3383 744 2 0 0
3390 1035 0 1 0
3391 652 4 0 0
3393 744 1 0 0
3394 652 3 0 0
3396 136 3 0 0
3398 828 3 0 0
3403 813 3 0 0
3404 603 2 0 0
3409 828 2 0 0
3414 371 8 0 0
3415 371 8 0 0
3417 1035 0 1 0
3426 136 3 0 0
3427 22 4 0 0
3428 813 4 0 0
3429 744 1 0 0
3430 813 3 0 0
3431 813 1 0 0
3432 813 3 0 0
3434 813 2 0 0
3436 744 1 0 0
3437 813 3 0 0
3438 411 2 0 0
3441 411 3 0 0
3442 411 3 0 0
3443 603 2 0 0
3444 371 7 0 0
3446 371 8 0 0
3447 603 2 0 0
3449 603 2 0 0
3450 1035 0 1 0
3451 744 1 0 0
3452 411 3 0 0
3454 411 4 0 0
3455 813 5 0 0
3456 411 1 0 0
3457 813 4 0 0
3458 450 2 0 0
3459 813 4 0 0
